id_a,id_b,score
1051180151613153283,3352534126,7.5
1051180151613153283,186933748,7.5
1051180151613153283,289527193,7.5
1051180151613153283,1553140046,7.0
1051180151613153283,1138183830274236416,6.0
1051180151613153283,2441900220,8.5
1051180151613153283,839158336310345728,7.0
1051180151613153283,1152997529233035265,7.0
1051180151613153283,1208044403853582336,7.0
1051180151613153283,139758468,7.5
1051180151613153283,1268554198263742464,7.0
1051180151613153283,493389933,8.5
1051180151613153283,1165266163611447296,5.5
1051180151613153283,99573111,7.0
1051180151613153283,1240827206793863169,8.5
1051180151613153283,1243502454588702720,7.0
1051180151613153283,2763382668,6.0
1051180151613153283,1211796613577891840,7.0
1051180151613153283,1169066552,7.0
1051180151613153283,1511836626,7.0
1051180151613153283,1196836030315466757,7.0
1051180151613153283,1010219892765683712,7.0
1051180151613153283,828545628678549504,6.0
1051180151613153283,1251801079202959360,7.0
1051180151613153283,288859099,7.0
1051180151613153283,3321321664,6.0
1051180151613153283,915246553232748544,8.5
1051180151613153283,307458028,7.0
1051180151613153283,785033065185894400,7.0
1051180151613153283,245470273,7.0
1051180151613153283,4196302367,8.5
1051180151613153283,2948722535,7.0
1051180151613153283,1219875039899725824,7.0
1051180151613153283,3020421,6.0
1051180151613153283,1072203455220072448,7.0
1051180151613153283,856562614901649408,7.0
1051180151613153283,1238805173692227584,7.0
1051180151613153283,1175384105409814528,7.0
1051180151613153283,920584587419488262,7.0
1051180151613153283,1139440491408351232,7.0
1051180151613153283,1248973122222657537,7.0
1051180151613153283,1412165448,7.0
1051180151613153283,493453810,7.0
1051180151613153283,1117972452,8.5
1051180151613153283,1245460028611538944,7.0
1051180151613153283,1275513308,7.0
1051180151613153283,1136277087076200448,7.0
1051180151613153283,146378337,6.0
1051180151613153283,1176572337497530368,7.0
1051180151613153283,3002210565,7.0
1051180151613153283,1256689358,8.5
1051180151613153283,26302586,7.0
1051180151613153283,4866773308,7.0
1051180151613153283,968894781991608323,7.0
1051180151613153283,305813677,7.0
1051180151613153283,4588809977,6.0
1051180151613153283,358430492,7.0
1051180151613153283,450583624,8.5
1051180151613153283,1206831443319672832,7.0
1051180151613153283,1245726870282387458,7.0
1051180151613153283,388218649,8.5
1051180151613153283,559596875,7.0
1051180151613153283,1226250143898521600,7.0
1051180151613153283,2998677341,6.0
1051180151613153283,1240320427332902914,7.0
1051180151613153283,1188122976882966528,7.0
1051180151613153283,1928490402,7.0
1051180151613153283,2243934116,7.0
1051180151613153283,390729876,7.0
1051180151613153283,115655571,7.0
1051180151613153283,300332191,7.0
1051180151613153283,1243517276734832645,8.5
1051180151613153283,4157677899,8.5
1051180151613153283,1241334239574007808,7.0
1051180151613153283,795554761055633408,7.0
1051180151613153283,1106951733102723072,8.5
1051180151613153283,299330318,7.0
1051180151613153283,1148333959031533570,6.0
1051180151613153283,92636490,7.0
1051180151613153283,1448940938,7.0
1051180151613153283,859312763876888576,7.0
1051180151613153283,3850506734,7.0
1051180151613153283,994767450859286528,7.0
1051180151613153283,546303968,7.0
1051180151613153283,870026326538956801,7.0
1051180151613153283,17978100,7.0
1051180151613153283,2352301321,7.0
1051180151613153283,1019523069403107328,7.0
1051180151613153283,328414144,7.0
1051180151613153283,76298295,7.0
1051180151613153283,1157773917538455554,7.0
1051180151613153283,900780777549565953,7.0
1051180151613153283,1239659248990248961,7.0
1051180151613153283,3234463954,7.0
1051180151613153283,1167049954428424199,8.5
1051180151613153283,1190303333870907394,7.0
1051180151613153283,1238425303904661504,7.0
1051180151613153283,964426764561760256,7.0
1051180151613153283,1192550638972022784,7.0
1051180151613153283,2435371591,6.0
1051180151613153283,1055785686375247872,7.0
1051180151613153283,568689015,8.5
1051180151613153283,851519415086710787,7.0
1051180151613153283,544529369,8.5
1051180151613153283,1178377002316943363,7.0
1051180151613153283,845609489290203136,7.0
1051180151613153283,1235186428218310656,7.0
1051180151613153283,957575934,7.0
1051180151613153283,2882031191,8.5
1051180151613153283,4896144616,7.0
1051180151613153283,557413962,7.0
1051180151613153283,137786388,7.0
1051180151613153283,598498855,7.0
1051180151613153283,854438667779231744,7.0
1051180151613153283,2543596316,7.0
1051180151613153283,2575302601,7.0
1051180151613153283,991062133034115078,7.0
1051180151613153283,1006489290736570369,8.5
1051180151613153283,2657861678,7.0
1051180151613153283,132293641,7.0
1051180151613153283,23478516,7.0
1051180151613153283,314499316,7.0
1051180151613153283,2909379351,7.0
1051180151613153283,1149362390317899777,7.0
1051180151613153283,3008294429,7.0
1051180151613153283,1129126607074021377,7.0
1051180151613153283,975499376541032451,7.0
1051180151613153283,3898598357,7.5
1051180151613153283,800286428810727424,7.5
1051180151613153283,1151871097962475522,7.0
1051180151613153283,1241762912,8.5
1051180151613153283,1153731440481316871,7.0
1051180151613153283,229680150,7.0
1051180151613153283,1222104648712118273,7.0
1051180151613153283,1150083327573090305,7.0
1051180151613153283,1206919779010928640,7.0
1051180151613153283,847915579558252545,7.0
1051180151613153283,1180160864386719744,7.0
1051180151613153283,4202330687,6.0
1051180151613153283,1024224980,7.0
1051180151613153283,2237745397,8.5
1051180151613153283,29241980,7.0
1051180151613153283,1976763428,7.0
1051180151613153283,854577215060750336,7.0
1051180151613153283,1189590476434890752,7.0
1051180151613153283,878163041157820417,7.0
1051180151613153283,3247225553,7.0
1051180151613153283,586291040,8.5
